Model,Features,Accuracy,Precision,Recall,F1 Score,Error Rate,Pred Time
Proposed Bagging (Ours),Original (8 features),0.9945205479452055,0.9945762088619231,0.9945205479452055,0.9945108582781608,0.005479452054794542,0.00860733985900879
Random Forest,Original (8 features),0.9986301369863014,1.0,0.9972602739726029,0.9986206896551725,0.0013698630136986356,0.005416297912597656
SVM (RBF),Original (8 features),0.995205479452055,0.9986301369863014,0.9917808219178081,0.9951794419720918,0.004794520547945225,0.0019212722778320312
KNN,Original (8 features),0.9993150684931507,0.9986394557823128,1.0,0.9993174061433446,0.0006849315068493178,0.002171754837036133
Logistic Regression,Original (8 features),0.9917808219178083,0.99454850433324,0.9890410958904109,0.9917664726888153,0.008219178082191792,0.0015284061431884766
ANN (MLP),Original (8 features),0.9979452054794521,0.9986394557823128,0.9972602739726029,0.9979428356966092,0.0020547945205479532,0.001251077651977539
Proposed Bagging (Ours),PCA (4 components),0.9767123287671234,0.970497216097973,0.9835616438356164,0.9768866966318122,0.023287671232876693,0.011638641357421875
Random Forest,PCA (4 components),0.9767123287671232,0.9732941020579545,0.9808219178082191,0.9769087932293175,0.023287671232876717,0.006476116180419922
SVM (RBF),PCA (4 components),0.9753424657534246,0.9705177431557231,0.9808219178082191,0.9755732334142664,0.024657534246575352,0.00437016487121582
KNN,PCA (4 components),0.9876712328767123,0.9777573601103013,0.9986301369863014,0.9879365629781203,0.012328767123287676,0.0009067535400390625
Logistic Regression,PCA (4 components),0.9219178082191781,0.9328266011839028,0.9095890410958903,0.9207925620534914,0.0780821917808219,0.0014604091644287109
ANN (MLP),PCA (4 components),0.9917808219178081,0.9879459434780623,0.9958904109589041,0.9918501434393784,0.008219178082191792,0.0019469738006591796
Proposed Bagging (Ours),SVD (4 components),0.9767123287671234,0.970497216097973,0.9835616438356164,0.9768866966318122,0.023287671232876693,0.009676170349121094
Random Forest,SVD (4 components),0.9767123287671232,0.9732941020579545,0.9808219178082191,0.9769087932293175,0.023287671232876717,0.005026674270629883
SVM (RBF),SVD (4 components),0.9753424657534246,0.9705177431557231,0.9808219178082191,0.9755732334142664,0.024657534246575352,0.003143501281738281
KNN,SVD (4 components),0.9876712328767123,0.9777573601103013,0.9986301369863014,0.9879365629781203,0.012328767123287676,0.0009212493896484375
Logistic Regression,SVD (4 components),0.9219178082191781,0.9328266011839028,0.9095890410958903,0.9207925620534914,0.0780821917808219,0.00020074844360351562
ANN (MLP),SVD (4 components),0.9917808219178081,0.9879459434780623,0.9958904109589041,0.9918501434393784,0.008219178082191792,0.0006433010101318359
